,subID,score,source,target,Identity,Condition
35,5239,0.5,Exp5_Person,Exp5_Person,None,None
36,5240,0.5,Exp5_Person,Exp5_Person,None,None
37,5242,0.5,Exp5_Person,Exp5_Person,None,None
0,5201,0.5,Exp5_Scene,Exp5_Scene,None,None
1,5202,0.5,Exp5_Scene,Exp5_Scene,None,None
2,5203,0.5,Exp5_Scene,Exp5_Scene,None,None
3,5204,0.5,Exp5_Scene,Exp5_Scene,None,None
4,5205,0.5,Exp5_Scene,Exp5_Scene,None,None
5,5206,0.5,Exp5_Scene,Exp5_Scene,None,None
6,5207,0.5,Exp5_Scene,Exp5_Scene,None,None
7,5208,0.5,Exp5_Scene,Exp5_Scene,None,None
8,5209,0.5,Exp5_Scene,Exp5_Scene,None,None
9,5210,0.5,Exp5_Scene,Exp5_Scene,None,None
10,5211,0.5,Exp5_Scene,Exp5_Scene,None,None
11,5212,0.5,Exp5_Scene,Exp5_Scene,None,None
12,5213,0.5,Exp5_Scene,Exp5_Scene,None,None
13,5215,0.5,Exp5_Scene,Exp5_Scene,None,None
14,5216,0.5,Exp5_Scene,Exp5_Scene,None,None
15,5217,0.5,Exp5_Scene,Exp5_Scene,None,None
16,5218,0.5,Exp5_Scene,Exp5_Scene,None,None
17,5219,0.5,Exp5_Scene,Exp5_Scene,None,None
18,5220,0.5,Exp5_Scene,Exp5_Scene,None,None
19,5221,0.5,Exp5_Scene,Exp5_Scene,None,None
20,5222,0.5,Exp5_Scene,Exp5_Scene,None,None
21,5223,0.5,Exp5_Scene,Exp5_Scene,None,None
22,5225,0.5,Exp5_Scene,Exp5_Scene,None,None
23,5226,0.5,Exp5_Scene,Exp5_Scene,None,None
24,5227,0.5,Exp5_Scene,Exp5_Scene,None,None
25,5228,0.5,Exp5_Scene,Exp5_Scene,None,None
26,5229,0.5,Exp5_Scene,Exp5_Scene,None,None
27,5230,0.5,Exp5_Scene,Exp5_Scene,None,None
28,5231,0.5,Exp5_Scene,Exp5_Scene,None,None
29,5233,0.5,Exp5_Scene,Exp5_Scene,None,None
30,5234,0.5,Exp5_Scene,Exp5_Scene,None,None
31,5235,0.5,Exp5_Scene,Exp5_Scene,None,None
32,5236,0.5,Exp5_Scene,Exp5_Scene,None,None
33,5237,0.5,Exp5_Scene,Exp5_Scene,None,None
34,5238,0.5,Exp5_Scene,Exp5_Scene,None,None
35,5239,0.5,Exp5_Scene,Exp5_Scene,None,None
36,5240,0.5,Exp5_Scene,Exp5_Scene,None,None
37,5242,0.5,Exp5_Scene,Exp5_Scene,None,None
0,3010,0.5,Exp3a_other,Exp3a_other,Other,Explicit
1,3011,0.5,Exp3a_other,Exp3a_other,Other,Explicit
2,3012,0.5,Exp3a_other,Exp3a_other,Other,Explicit
3,3013,0.5,Exp3a_other,Exp3a_other,Other,Explicit
4,3014,0.5,Exp3a_other,Exp3a_other,Other,Explicit
5,3015,0.5,Exp3a_other,Exp3a_other,Other,Explicit
6,3016,0.5,Exp3a_other,Exp3a_other,Other,Explicit
7,3017,0.5,Exp3a_other,Exp3a_other,Other,Explicit
8,3018,0.5,Exp3a_other,Exp3a_other,Other,Explicit
9,3019,0.5,Exp3a_other,Exp3a_other,Other,Explicit
10,3020,0.5,Exp3a_other,Exp3a_other,Other,Explicit
11,3021,0.5,Exp3a_other,Exp3a_other,Other,Explicit
12,3022,0.5,Exp3a_other,Exp3a_other,Other,Explicit
13,3023,0.5,Exp3a_other,Exp3a_other,Other,Explicit
14,3024,0.5,Exp3a_other,Exp3a_other,Other,Explicit
15,3025,0.5,Exp3a_other,Exp3a_other,Other,Explicit
16,3026,0.5,Exp3a_other,Exp3a_other,Other,Explicit
17,3027,0.5,Exp3a_other,Exp3a_other,Other,Explicit
18,3028,0.5,Exp3a_other,Exp3a_other,Other,Explicit
19,3029,0.5,Exp3a_other,Exp3a_other,Other,Explicit
20,3030,0.5,Exp3a_other,Exp3a_other,Other,Explicit
21,3032,0.5,Exp3a_other,Exp3a_other,Other,Explicit
22,3033,0.5,Exp3a_other,Exp3a_other,Other,Explicit
23,3034,0.5,Exp3a_other,Exp3a_other,Other,Explicit
24,3036,0.5,Exp3a_other,Exp3a_other,Other,Explicit
25,3037,0.5,Exp3a_other,Exp3a_other,Other,Explicit
26,3038,0.5,Exp3a_other,Exp3a_other,Other,Explicit
27,3039,0.5,Exp3a_other,Exp3a_other,Other,Explicit
28,3040,0.5,Exp3a_other,Exp3a_other,Other,Explicit
29,3041,0.5,Exp3a_other,Exp3a_other,Other,Explicit
