,subID,score,source,target,source_Identity,target_Identity,source_ref,target_ref
28,5231,0.7001607946828416,Exp5_Morality,Exp5_Morality,None,None,None,None
29,5233,0.4798209587156575,Exp5_Morality,Exp5_Morality,None,None,None,None
30,5234,0.4463007995326003,Exp5_Morality,Exp5_Morality,None,None,None,None
31,5235,0.5400497334449831,Exp5_Morality,Exp5_Morality,None,None,None,None
32,5236,0.5391303146098155,Exp5_Morality,Exp5_Morality,None,None,None,None
33,5237,0.5020954106280193,Exp5_Morality,Exp5_Morality,None,None,None,None
34,5238,0.5413407397577102,Exp5_Morality,Exp5_Morality,None,None,None,None
35,5239,0.5555045547630817,Exp5_Morality,Exp5_Morality,None,None,None,None
36,5240,0.5382216938379257,Exp5_Morality,Exp5_Morality,None,None,None,None
37,5242,0.5635107229934816,Exp5_Morality,Exp5_Morality,None,None,None,None
0,5201,0.5119823230611696,Exp5_Emotion,Exp5_Emotion,None,None,None,None
1,5202,0.5280704061357682,Exp5_Emotion,Exp5_Emotion,None,None,None,None
2,5203,0.5523564378550744,Exp5_Emotion,Exp5_Emotion,None,None,None,None
3,5204,0.49692741113181677,Exp5_Emotion,Exp5_Emotion,None,None,None,None
4,5205,0.484675991153912,Exp5_Emotion,Exp5_Emotion,None,None,None,None
5,5206,0.5516464640249406,Exp5_Emotion,Exp5_Emotion,None,None,None,None
6,5207,0.5254967398395899,Exp5_Emotion,Exp5_Emotion,None,None,None,None
7,5208,0.5357526909322571,Exp5_Emotion,Exp5_Emotion,None,None,None,None
8,5209,0.5040819484845895,Exp5_Emotion,Exp5_Emotion,None,None,None,None
9,5210,0.5454282407407406,Exp5_Emotion,Exp5_Emotion,None,None,None,None
10,5211,0.5040929272685365,Exp5_Emotion,Exp5_Emotion,None,None,None,None
11,5212,0.527361803341329,Exp5_Emotion,Exp5_Emotion,None,None,None,None
12,5213,0.5362583457371791,Exp5_Emotion,Exp5_Emotion,None,None,None,None
13,5215,0.5857481032859448,Exp5_Emotion,Exp5_Emotion,None,None,None,None
14,5216,0.5060956821926429,Exp5_Emotion,Exp5_Emotion,None,None,None,None
15,5217,0.4845745791355329,Exp5_Emotion,Exp5_Emotion,None,None,None,None
16,5218,0.6387131546098027,Exp5_Emotion,Exp5_Emotion,None,None,None,None
17,5219,0.4801448555280521,Exp5_Emotion,Exp5_Emotion,None,None,None,None
18,5220,0.48309912200174193,Exp5_Emotion,Exp5_Emotion,None,None,None,None
19,5221,0.5158943807648582,Exp5_Emotion,Exp5_Emotion,None,None,None,None
20,5222,0.5890421914859808,Exp5_Emotion,Exp5_Emotion,None,None,None,None
21,5223,0.5572252401658013,Exp5_Emotion,Exp5_Emotion,None,None,None,None
22,5225,0.5260004554491183,Exp5_Emotion,Exp5_Emotion,None,None,None,None
23,5226,0.6104782523354285,Exp5_Emotion,Exp5_Emotion,None,None,None,None
24,5227,0.5811541241754247,Exp5_Emotion,Exp5_Emotion,None,None,None,None
25,5228,0.5159944286133187,Exp5_Emotion,Exp5_Emotion,None,None,None,None
26,5229,0.5371054867244691,Exp5_Emotion,Exp5_Emotion,None,None,None,None
27,5230,0.5032783346372375,Exp5_Emotion,Exp5_Emotion,None,None,None,None
28,5231,0.40181899537920707,Exp5_Emotion,Exp5_Emotion,None,None,None,None
29,5233,0.47612516548865974,Exp5_Emotion,Exp5_Emotion,None,None,None,None
