Subject,Age,Handedness,Sex,BlockList.Sample,SubTrial,Label,Target,Shape,YesNoResp,Target.CRESP,Target.RESP,Target.ACC,Target.RT
1144,20,right,female,12,32,常人,T.bmp,Good,No,n,n,1,746
1144,20,right,female,12,33,善人,S.bmp,Normal,No,n,m,0,623
1144,20,right,female,12,34,善人,T.bmp,Good,Yes,m,n,0,844
1144,20,right,female,12,35,善人,C.bmp,Bad,No,n,n,1,874
1144,20,right,female,12,36,善人,T.bmp,Good,Yes,m,n,0,675
1144,20,right,female,12,37,善人,C.bmp,Bad,No,n,m,0,513
1144,20,right,female,12,38,常人,C.bmp,Bad,No,n,n,1,279
1144,20,right,female,12,39,善人,T.bmp,Good,Yes,m,n,0,802
1144,20,right,female,12,40,恶人,T.bmp,Good,No,n,m,0,374
1144,20,right,female,12,41,常人,S.bmp,Normal,Yes,m,m,1,327
1144,20,right,female,12,42,善人,T.bmp,Good,Yes,m,m,1,395
1144,20,right,female,12,43,恶人,C.bmp,Bad,Yes,m,m,1,693
1144,20,right,female,12,44,恶人,C.bmp,Bad,Yes,m,m,1,504
1144,20,right,female,12,45,恶人,S.bmp,Normal,No,n,n,1,648
1144,20,right,female,12,46,常人,T.bmp,Good,No,n,n,1,640
1144,20,right,female,12,47,常人,S.bmp,Normal,Yes,m,m,1,860
1144,20,right,female,12,48,善人,S.bmp,Normal,No,n,n,1,738
1144,20,right,female,12,49,恶人,C.bmp,Bad,Yes,m,m,1,807
1144,20,right,female,12,50,善人,T.bmp,Good,Yes,m,m,1,569
1144,20,right,female,12,51,善人,C.bmp,Bad,No,n,m,0,752
1144,20,right,female,12,52,常人,S.bmp,Normal,Yes,m,m,1,639
1144,20,right,female,12,53,恶人,T.bmp,Good,No,n,m,0,746
1144,20,right,female,12,54,善人,S.bmp,Normal,No,n,m,0,519
1144,20,right,female,12,55,恶人,S.bmp,Normal,No,n,n,1,1045
1144,20,right,female,12,56,常人,S.bmp,Normal,Yes,m,m,1,540
1144,20,right,female,12,57,恶人,C.bmp,Bad,Yes,m,m,1,685
1144,20,right,female,12,58,善人,T.bmp,Good,Yes,m,m,1,638
1144,20,right,female,12,59,常人,C.bmp,Bad,No,n,m,0,630
1144,20,right,female,12,60,常人,T.bmp,Good,No,n,n,1,469
1147,18,right,female,,1,常人,C.bmp,Bad,No,m,,0,0
1147,18,right,female,,2,常人,S.bmp,Normal,Yes,n,,0,0
1147,18,right,female,,3,常人,S.bmp,Normal,Yes,n,n,1,1066
